cage,id,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,Notes,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed
cage,id,9/18/2022,9/18/2022,9/18/2022,9/19/2022,9/19/2022,9/19/2022,9/20/2022,9/20/2022,9/20/2022,9/21/2022,9/21/2022,9/21/2022,9/22/2022,9/22/2022,9/22/2022,9/23/2022,9/23/2022,9/23/2022,9/24/2022,9/24/2022,9/24/2022,9/24/2022,9/25/2022,9/25/2022,9/25/2022,9/26/2022,9/26/2022,9/26/2022,9/27/2022,9/27/2022,9/27/2022,9/30/2022,9/30/2022,9/30/2022,10/1/2022,10/1/2022,10/1/2022,10/2/2022,10/2/2022,10/2/2022,10/3/2022,10/3/2022,10/3/2022
1,1.1,26,1,5,23.4,0.9,2.5,24.2,0.9307692308,2.5,23.8,0.9153846154,2,23.1,0.8884615385,2,24.1,0.9269230769,1.8,23.2,0.8923076923,1.8,,23.4,0.9,1.9,22.9,0.8807692308,1.7,21.3,0.8192307692,5,25.4,0.9769230769,0,22.6,0.8692307692,2,23.2,0.8923076923,1.5,21.2,0.8153846154,1.8
1,1.2,25.2,1,5,23.3,0.9246031746,2.5,23.8,0.9444444444,2.5,23.3,0.9246031746,2,23.4,0.9285714286,2,22.8,0.9047619048,1.8,23.4,0.9285714286,1.8,,23.1,0.9166666667,1.9,22.7,0.9007936508,1.7,21.2,0.8412698413,5,26,1.031746032,0,22.5,0.8928571429,2,23.2,0.9206349206,1.5,21.5,0.8531746032,1.8
1,1.3,24.8,1,5,23,0.9274193548,2.5,23.5,0.9475806452,2.5,23.4,0.9435483871,2,23,0.9274193548,2,23.9,0.9637096774,1.8,22.9,0.9233870968,1.8,,22.8,0.9193548387,1.9,22.5,0.9072580645,1.7,20.7,0.8346774194,5,25.1,1.012096774,0,22.4,0.9032258065,2,22.8,0.9193548387,1.5,21.3,0.8588709677,1.8
1,1.4,24.7,1,5,22.8,0.9230769231,2.5,23.1,0.9352226721,2.5,22.6,0.9149797571,2,22.4,0.9068825911,2,23.2,0.9392712551,1.8,22.3,0.9028340081,1.8,,22.2,0.8987854251,1.9,22.1,0.8947368421,1.7,20.8,0.8421052632,5,24.1,0.975708502,0,21.3,0.8623481781,2,22.1,0.8947368421,1.5,20.4,0.8259109312,1.8
2,2.1,29.5,1,5,27.4,0.9288135593,2.5,27.5,0.9322033898,2.5,27.9,0.9457627119,2,27.5,0.9322033898,1.8,26.8,0.9084745763,1.8,26.4,0.8949152542,1.7,,24.8,0.8406779661,2,27.1,0.9186440678,1.8,24.3,0.8237288136,5,29.1,0.986440678,0,26.2,0.8881355932,1.8,25.9,0.8779661017,1.8,24.8,0.8406779661,2
2,2.2,27.3,1,5,25.2,0.9230769231,2.5,25,0.9157509158,2.5,25.8,0.9450549451,2,25.1,0.9194139194,1.8,24.5,0.8974358974,1.8,24.4,0.8937728938,1.7,,23.2,0.8498168498,2,24.8,0.9084249084,1.8,22.6,0.8278388278,5,26.1,0.956043956,0,24.2,0.8864468864,1.8,23.6,0.8644688645,1.8,22.8,0.8351648352,2
2,2.3,28.1,1,5,26.4,0.9395017794,2.5,26.2,0.9323843416,2.5,27.5,0.9786476868,2,26.6,0.9466192171,1.8,25.9,0.9217081851,1.8,26,0.9252669039,1.7,,24.5,0.871886121,2,25.9,0.9217081851,1.8,23.2,0.8256227758,5,27.8,0.9893238434,0,24.7,0.8790035587,1.8,24.4,0.8683274021,1.8,23.4,0.8327402135,2
2,2.4,24.7,1,5,23,0.9311740891,2.5,23.3,0.9433198381,2.5,24.3,0.983805668,2,23.1,0.9352226721,1.8,23.4,0.9473684211,1.8,23.4,0.9473684211,1.7,,21.6,0.8744939271,2,23.5,0.951417004,1.8,21.1,0.8542510121,5,26,1.052631579,0,23,0.9311740891,1.8,22.4,0.9068825911,1.8,21.6,0.8744939271,2
3,3.1,26.2,1,5,25.3,0.965648855,2.5,25.1,0.9580152672,2.5,25.8,0.9847328244,2,24.6,0.9389312977,1.8,24.8,0.9465648855,1.6,24.7,0.9427480916,1.4,,22.9,0.8740458015,1.6,23.7,0.9045801527,1.6,22.6,0.8625954198,5,27.2,1.038167939,0,24,0.9160305344,1.7,24,0.9160305344,1.6,21.7,0.8282442748,1.8
