,total_match_number,subject_id,agent_id,original_elo_rating,updated_elo_rating,win_draw_loss,subject_ranking,agent_ranking,pairing_index,observer,notes,length_of_observations,date,cage_#,winner,loser,action,sheet_name,session_number_difference,strain,experiment_type
0,1,2.1,2.2,1000.0,1010.0,1,1,2,0,Jocelyn,,30 min,2022-09-21,2,2.1,2.2,f,CAGE2,,C57,home_cage_observation
1,1,2.2,2.1,1000.0,990.0,0,2,1,1,Jocelyn,,30 min,2022-09-21,2,2.1,2.2,f,CAGE2,,C57,home_cage_observation
2,2,2.1,2.2,1010.0,1019.4,1,1,2,0,Jocelyn,,30 min,2022-09-21,2,2.1,2.2,c,CAGE2,0.0,C57,home_cage_observation
3,2,2.2,2.1,990.0,980.6,0,2,1,1,Jocelyn,,30 min,2022-09-21,2,2.1,2.2,c,CAGE2,0.0,C57,home_cage_observation
4,3,2.1,2.4,1019.4,1028.8,1,1,2,0,Jocelyn,,30 min,2022-09-21,2,2.1,2.4,c,CAGE2,0.0,C57,home_cage_observation
5,3,2.4,2.1,1000.0,990.6,0,2,1,1,Jocelyn,,30 min,2022-09-21,2,2.1,2.4,c,CAGE2,0.0,C57,home_cage_observation
6,4,2.1,2.4,1028.8,1037.7,1,1,2,0,Jocelyn,,30 min,2022-09-21,2,2.1,2.4,f,CAGE2,0.0,C57,home_cage_observation
7,4,2.4,2.1,990.6,981.7,0,2,1,1,Jocelyn,,30 min,2022-09-21,2,2.1,2.4,f,CAGE2,0.0,C57,home_cage_observation
8,5,2.1,2.4,1037.7,1046.1,1,1,3,0,Jocelyn,,30 min,2022-09-21,2,2.1,2.4,c,CAGE2,0.0,C57,home_cage_observation
9,5,2.4,2.1,981.7,973.3,0,3,1,1,Jocelyn,,30 min,2022-09-21,2,2.1,2.4,c,CAGE2,0.0,C57,home_cage_observation
10,6,2.1,2.4,1046.1,1054.0,1,1,3,0,Jocelyn,,30 min,2022-09-21,2,2.1,2.4,f,CAGE2,0.0,C57,home_cage_observation
11,6,2.4,2.1,973.3,965.4,0,3,1,1,Jocelyn,,30 min,2022-09-21,2,2.1,2.4,f,CAGE2,0.0,C57,home_cage_observation
12,7,2.1,2.4,1054.0,1061.5,1,1,3,0,Jocelyn,,30 min,2022-09-21,2,2.1,2.4,c,CAGE2,0.0,C57,home_cage_observation
13,7,2.4,2.1,965.4,957.9,0,3,1,1,Jocelyn,,30 min,2022-09-21,2,2.1,2.4,c,CAGE2,0.0,C57,home_cage_observation
14,8,2.1,2.2,1061.5,1069.2,1,1,2,0,Jocelyn,,30 min,2022-09-21,2,2.1,2.2,c,CAGE2,0.0,C57,home_cage_observation
15,8,2.2,2.1,980.6,972.9,0,2,1,1,Jocelyn,,30 min,2022-09-21,2,2.1,2.2,c,CAGE2,0.0,C57,home_cage_observation
16,9,2.1,2.2,1069.2,1076.5,1,1,2,0,Jocelyn,,30 min,2022-09-21,2,2.1,2.2,c,CAGE2,0.0,C57,home_cage_observation
17,9,2.2,2.1,972.9,965.6,0,2,1,1,Jocelyn,,30 min,2022-09-21,2,2.1,2.2,c,CAGE2,0.0,C57,home_cage_observation
18,10,2.1,2.2,1076.5,1083.4,1,1,2,0,Jocelyn,,30 min,2022-09-21,2,2.1,2.2,f,CAGE2,0.0,C57,home_cage_observation
19,10,2.2,2.1,965.6,958.7,0,2,1,1,Jocelyn,,30 min,2022-09-21,2,2.1,2.2,f,CAGE2,0.0,C57,home_cage_observation
20,11,2.1,2.4,1083.4,1089.9,1,1,3,0,Jocelyn,,30 min,2022-09-21,2,2.1,2.4,f,CAGE2,0.0,C57,home_cage_observation
21,11,2.4,2.1,957.9,951.4,0,3,1,1,Jocelyn,,30 min,2022-09-21,2,2.1,2.4,f,CAGE2,0.0,C57,home_cage_observation
22,12,2.1,2.2,1089.9,1096.3,1,1,2,0,Jocelyn,,30 min,2022-09-21,2,2.1,2.2,f,CAGE2,0.0,C57,home_cage_observation
23,12,2.2,2.1,958.7,952.3,0,2,1,1,Jocelyn,,30 min,2022-09-21,2,2.1,2.2,f,CAGE2,0.0,C57,home_cage_observation
24,13,2.1,2.2,1096.3,1102.4,1,1,3,0,Jocelyn,,30 min,2022-09-21,2,2.1,2.2,c,CAGE2,0.0,C57,home_cage_observation
25,13,2.2,2.1,952.3,946.2,0,3,1,1,Jocelyn,,30 min,2022-09-21,2,2.1,2.2,c,CAGE2,0.0,C57,home_cage_observation
26,14,2.1,2.2,1102.4,1108.2,1,1,3,0,Jocelyn,,30 min,2022-09-21,2,2.1,2.2,f,CAGE2,0.0,C57,home_cage_observation
27,14,2.2,2.1,946.2,940.4,0,3,1,1,Jocelyn,,30 min,2022-09-21,2,2.1,2.2,f,CAGE2,0.0,C57,home_cage_observation
