,subject_id,cage_#,final_elo_rating,strain,experiment_type,rank
0,2.1,2,1169.1,C57,home_cage_observation,1.0
1,2.2,2,940.4,C57,home_cage_observation,3.0
2,2.3,2,952.3,C57,home_cage_observation,2.0
3,2.4,2,938.2,C57,home_cage_observation,4.0
4,4.1,4,784.8,CD1,home_cage_observation,4.0
5,4.2,4,1080.4,CD1,home_cage_observation,2.0
6,4.3,4,1111.0,CD1,home_cage_observation,1.0
7,4.4,4,1023.8,CD1,home_cage_observation,3.0
8,5.1,5,1198.5,CD1,home_cage_observation,1.0
9,5.2,5,1008.4,CD1,home_cage_observation,2.0
10,5.3,5,852.5,CD1,home_cage_observation,4.0
11,5.4,5,940.6,CD1,home_cage_observation,3.0
