,rc_tuple_animal_id,rc_date,rc_winner,rc_loser,rc_winner_no_ties,rc_loser_no_ties,rc_different_result_as_previous,rc_number_of_switches,processed_cage_number,strain,rc_averaged_winner,rc_averaged_loser,rc_averaged_winner_win_count,rc_averaged_loser_win_count,rc_tie_count,rc_all_match_count_including_ties,rc_averaged_winner_win_count_minus_loser_win_count,rc_win_to_win_plus_lost_ratio,rc_win_to_all_ratio,rc_is_win_to_win_and_loss_ratio_tie,rc_tie_to_all_ratio
0,"('1.1', '1.2')",2022-10-03,"['1.1', '1.2', '1.2', '1.1', 'tie', '1.1', '1.1', 'tie', '1.1', '1.2', 'tie', '1.2', '1.1', 'tie', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.2', '1.1', '1.1', '1.2', 'tie', '1.2', '1.2', 'tie', '1.2', '1.1', 'tie', '1.1', '1.2', 'tie', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.1', '1.2', '1.2', '1.1', '1.1', '1.1', '1.1', '1.2', '1.2', '1.1', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.2', '1.1', '1.1', '1.2', '1.2', '1.2', '1.2', '1.1', '1.1', '1.2', '1.1', '1.1', '1.1', '1.1', '1.1']","[True, False, True, False, False, False, True, False, True, True, False, False, False, False]",5,1,C57,1.2,1.1,9,6,4,19,3,0.6,0.47368421052631576,False,0.21052631578947367
1,"('1.1', '1.2')",2022-10-04,"['1.1', '1.1', '1.1', '1.1', '1.1', 'tie', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.2', '1.2', '1.2', '1.2', '1.2', 'tie', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",0,1,C57,1.1,1.2,18,0,1,19,18,1.0,0.9473684210526315,False,0.05263157894736842
2,"('1.1', '1.3')",2022-10-03,"['1.3', '1.3', '1.3', '1.3', '1.1', '1.1', 'tie', '1.1', '1.3', '1.1', 'tie', '1.1', 'tie', '1.3', '1.3', '1.3', '1.3', 'tie', 'tie']","['1.1', '1.1', '1.1', '1.1', '1.3', '1.3', 'tie', '1.3', '1.1', '1.3', 'tie', '1.3', 'tie', '1.1', '1.1', '1.1', '1.1', 'tie', 'tie']","['1.3', '1.3', '1.3', '1.3', '1.1', '1.1', '1.1', '1.3', '1.1', '1.1', '1.3', '1.3', '1.3', '1.3']","['1.1', '1.1', '1.1', '1.1', '1.3', '1.3', '1.3', '1.1', '1.3', '1.3', '1.1', '1.1', '1.1', '1.1']","[False, False, False, True, False, False, True, True, False, True, False, False, False]",4,1,C57,1.3,1.1,9,5,5,19,4,0.6428571428571429,0.47368421052631576,False,0.2631578947368421
3,"('1.1', '1.3')",2022-10-04,"['1.3', '1.3', 'tie', '1.3', '1.3', '1.3', '1.3', '1.1', 'tie', 'tie', '1.1', '1.3', '1.1', '1.1', '1.3', '1.1', '1.1', 'tie', '1.3']","['1.1', '1.1', 'tie', '1.1', '1.1', '1.1', '1.1', '1.3', 'tie', 'tie', '1.3', '1.1', '1.3', '1.3', '1.1', '1.3', '1.3', 'tie', '1.1']","['1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.1', '1.1', '1.3', '1.1', '1.1', '1.3', '1.1', '1.1', '1.3']","['1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.3', '1.3', '1.1', '1.3', '1.3', '1.1', '1.3', '1.3', '1.1']","[False, False, False, False, False, True, False, True, True, False, True, True, False, True]",6,1,C57,1.3,1.1,9,6,4,19,3,0.6,0.47368421052631576,False,0.21052631578947367
4,"('1.1', '1.4')",2022-10-03,"['1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.1', '1.4', '1.4', '1.1', '1.4', 'tie', '1.4', '1.1', '1.1', '1.4', '1.1']","['1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.4', '1.1', '1.1', '1.4', '1.1', 'tie', '1.1', '1.4', '1.4', '1.1', '1.4']","['1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.1', '1.4', '1.4', '1.1', '1.4', '1.4', '1.1', '1.1', '1.4', '1.1']","['1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.4', '1.1', '1.1', '1.4', '1.1', '1.1', '1.4', '1.4', '1.1', '1.4']","[False, False, False, False, False, False, True, False, True, False, True, True, False, True, False, True, True]",7,1,C57,1.4,1.1,12,6,1,19,6,0.6666666666666666,0.631578947368421,False,0.05263157894736842
5,"('1.1', '1.4')",2022-10-04,"['1.1', '1.1', 'tie', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', 'tie', 'tie', '1.1', '1.4', '1.1', '1.1', '1.1', '1.4']","['1.4', '1.4', 'tie', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', 'tie', 'tie', '1.4', '1.1', '1.4', '1.4', '1.4', '1.1']","['1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.1', '1.1', '1.1', '1.4']","['1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.4', '1.4', '1.4', '1.1']","[False, False, False, False, False, False, False, False, False, False, True, True, False, False, True]",3,1,C57,1.1,1.4,14,2,3,19,12,0.875,0.7368421052631579,False,0.15789473684210525
6,"('1.2', '1.3')",2022-10-03,"['1.3', '1.3', '1.2', 'tie', '1.2', '1.2', '1.3', '1.3', '1.3', 'tie', 'tie', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.2']","['1.2', '1.2', '1.3', 'tie', '1.3', '1.3', '1.2', '1.2', '1.2', 'tie', 'tie', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.3']","['1.3', '1.3', '1.2', '1.2', '1.2', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.2']","['1.2', '1.2', '1.3', '1.3', '1.3', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.3']","[False, True, False, False, True, False, False, False, False, False, False, False, False, True, False]",3,1,C57,1.3,1.2,11,5,3,19,6,0.6875,0.5789473684210527,False,0.15789473684210525
7,"('1.2', '1.3')",2022-10-04,"['1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.2', '1.3', '1.3', '1.3', 'tie', '1.3', '1.2', '1.2', 'tie', 'tie', 'tie', '1.2', '1.3']","['1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.3', '1.2', '1.2', '1.2', 'tie', '1.2', '1.3', '1.3', 'tie', 'tie', 'tie', '1.3', '1.2']","['1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.2', '1.3', '1.3', '1.3', '1.3', '1.2', '1.2', '1.2', '1.3']","['1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.3', '1.2', '1.2', '1.2', '1.2', '1.3', '1.3', '1.3', '1.2']","[False, False, False, False, True, False, True, False, False, False, True, False, False, True]",4,1,C57,1.3,1.2,10,5,4,19,5,0.6666666666666666,0.5263157894736842,False,0.21052631578947367
8,"('1.2', '1.4')",2022-10-03,"['1.2', '1.4', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.4', '1.2', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4']","['1.2', '1.4', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.4', '1.2', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4']","[True, False, True, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",4,1,C57,1.2,1.4,16,3,0,19,13,0.8421052631578947,0.8421052631578947,False,0.0
9,"('1.2', '1.4')",2022-10-04,"['1.2', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.4', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4']","['1.2', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.4', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4']","[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",2,1,C57,1.2,1.4,18,1,0,19,17,0.9473684210526315,0.9473684210526315,False,0.0
