,date,cage,box,match,scorer,trial_1_winner,trial_2_winner,trial_3_winner,trial_4_winner,trial_5_winner,trial_6_winner,trial_7_winner,trial_8_winner,trial_9_winner,trial_10_winner,trial_11_winner,trial_12_winner,trial_13_winner,trial_14_winner,trial_15_winner,trial_16_winner,trial_17_winner,trial_18_winner,trial_19_winner,tuple_animal_id,strain
0,2022-10-03,1,1,1.1 vs 1.2,Jocelyn,1.1,1.2,1.2,1.1,tie,1.1,1.1,tie,1.1,1.2,tie,1.2,1.1,tie,1.2,1.2,1.2,1.2,1.2,"('1.1', '1.2')",C57
1,2022-10-03,1,2,1.3 vs 1.4,Jocelyn,1.3,1.4,1.3,1.4,1.4,1.3,1.4,1.3,tie,1.3,1.4,1.4,1.3,tie,1.4,1.3,1.3,1.4,tie,"('1.3', '1.4')",C57
2,2022-10-03,2,3,2.1 vs 2.2,Jocelyn,2.2,2.1,2.1,2.1,2.1,2.1,2.1,tie,2.1,2.1,2.1,2.1,2.2,2.2,2.1,2.2,2.1,2.1,2.2,"('2.1', '2.2')",C57
3,2022-10-03,2,4,2.3 vs 2.4,Jocelyn,2.4,2.4,2.4,2.3,2.4,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.4,2.4,2.4,2.4,2.3,"('2.3', '2.4')",C57
4,2022-10-03,3,1,3.1 vs 3.2,Meghan,3.2,3.1,3.1,3.2,3.2,3.1,3.1,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,"('3.1', '3.2')",C57
5,2022-10-03,3,2,3.3 vs 3.4,Naeliz,3.3,3.4,3.4,tie,3.4,3.4,3.4,3.3,3.3,tie,3.3,3.3,3.4,3.3,3.3,tie,3.3,3.3,3.3,"('3.3', '3.4')",C57
6,2022-10-03,4,3,4.1 vs 4.2,Ezra,4.1,4.1,4.2,4.2,4.1,4.1,tie,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.2,"('4.1', '4.2')",CD1
7,2022-10-03,4,4,4.3 vs 4.4,Erika,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.3,4.3,4.3,4.4,4.4,4.3,4.3,"('4.3', '4.4')",CD1
8,2022-10-03,5,1,5.1 vs 5.2,Albert,5.2,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.2,5.1,5.1,5.1,5.1,5.1,5.1,"('5.1', '5.2')",CD1
9,2022-10-03,5,2,5.3 vs 5.4,Meghan,5.4,5.4,5.3,5.3,5.3,tie,5.3,tie,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,"('5.3', '5.4')",CD1
