,total_match_number,subject_id,agent_id,original_elo_rating,updated_elo_rating,win_draw_loss,subject_ranking,agent_ranking,pairing_index,date,match,left_number_of_spots,right_number_of_spots,winner,loser,spot_number_difference,percent_difference,match_is_tie,notes,sheet_name,session_number_difference,cage_#,tuple_animal_id,strain,experiment_type
0,1,1.1,1.3,1000.0,1010.0,1.0,1,2,0,2022-09-14,1v3,31.0,9.0,1.1,1.3,,,False,,CAGE1,,1,"('1.1', '1.3')",C57,urine_marking
1,1,1.3,1.1,1000.0,990.0,0.0,2,1,1,2022-09-14,1v3,31.0,9.0,1.1,1.3,,,False,,CAGE1,,1,"('1.1', '1.3')",C57,urine_marking
2,2,1.2,1.4,1000.0,1010.0,1.0,2,4,0,2022-09-14,2v4,8.0,70.0,1.2,1.4,,,False,,CAGE1,0.0,1,"('1.2', '1.4')",C57,urine_marking
3,2,1.4,1.2,1000.0,990.0,0.0,4,2,1,2022-09-14,2v4,8.0,70.0,1.2,1.4,,,False,,CAGE1,0.0,1,"('1.2', '1.4')",C57,urine_marking
4,3,1.4,1.1,990.0,990.6,0.5,3,2,0,2022-09-15,1v4,1.0,3.0,1.4,1.1,,,True,,CAGE1,1.0,1,"('1.1', '1.4')",C57,urine_marking
5,3,1.1,1.4,1010.0,1009.4,0.5,2,3,1,2022-09-15,1v4,1.0,3.0,1.4,1.1,,,True,,CAGE1,1.0,1,"('1.1', '1.4')",C57,urine_marking
6,4,1.2,1.3,1010.0,1019.4,1.0,1,4,0,2022-09-15,2v3,27.0,5.0,1.2,1.3,,,False,,CAGE1,0.0,1,"('1.2', '1.3')",C57,urine_marking
7,4,1.3,1.2,990.0,980.6,0.0,4,1,1,2022-09-15,2v3,27.0,5.0,1.2,1.3,,,False,,CAGE1,0.0,1,"('1.2', '1.3')",C57,urine_marking
8,5,1.1,1.2,1009.4,1009.7,0.5,2,1,0,2022-09-16,1vs2,1.0,1.0,1.1,1.2,,,True,,CAGE1,1.0,1,"('1.1', '1.2')",C57,urine_marking
9,5,1.2,1.1,1019.4,1019.1,0.5,1,2,1,2022-09-16,1vs2,1.0,1.0,1.1,1.2,,,True,,CAGE1,1.0,1,"('1.1', '1.2')",C57,urine_marking
10,6,1.4,1.3,990.6,990.3,0.5,3,4,0,2022-09-16,3vs4,0.0,1.0,1.4,1.3,,,True,,CAGE1,0.0,1,"('1.3', '1.4')",C57,urine_marking
11,6,1.3,1.4,980.6,980.9,0.5,4,3,1,2022-09-16,3vs4,0.0,1.0,1.4,1.3,,,True,,CAGE1,0.0,1,"('1.3', '1.4')",C57,urine_marking
0,1,2.1,2.3,1000.0,1010.0,1.0,1,2,0,2022-09-14,1v3,59.0,17.0,2.1,2.3,,,False,,CAGE2,,2,"('2.1', '2.3')",C57,urine_marking
1,1,2.3,2.1,1000.0,990.0,0.0,2,1,1,2022-09-14,1v3,59.0,17.0,2.1,2.3,,,False,,CAGE2,,2,"('2.1', '2.3')",C57,urine_marking
2,2,2.4,2.2,1000.0,1010.0,1.0,2,4,0,2022-09-14,2v4,7.0,294.0,2.4,2.2,,,False,,CAGE2,0.0,2,"('2.2', '2.4')",C57,urine_marking
3,2,2.2,2.4,1000.0,990.0,0.0,4,2,1,2022-09-14,2v4,7.0,294.0,2.4,2.2,,,False,,CAGE2,0.0,2,"('2.2', '2.4')",C57,urine_marking
4,3,2.4,2.1,1010.0,1020.0,1.0,1,2,0,2022-09-15,1v4,16.0,188.0,2.4,2.1,,,False,,CAGE2,1.0,2,"('2.1', '2.4')",C57,urine_marking
5,3,2.1,2.4,1010.0,1000.0,0.0,2,1,1,2022-09-15,1v4,16.0,188.0,2.4,2.1,,,False,,CAGE2,1.0,2,"('2.1', '2.4')",C57,urine_marking
6,4,2.3,2.2,990.0,1000.0,1.0,3,4,0,2022-09-15,2v3,3.0,28.0,2.3,2.2,,,False,,CAGE2,0.0,2,"('2.2', '2.3')",C57,urine_marking
7,4,2.2,2.3,990.0,980.0,0.0,4,3,1,2022-09-15,2v3,3.0,28.0,2.3,2.2,,,False,,CAGE2,0.0,2,"('2.2', '2.3')",C57,urine_marking
8,5,2.1,2.2,1000.0,1009.4,1.0,2,4,0,2022-09-16,1vs2,29.0,2.0,2.1,2.2,,,False,,CAGE2,1.0,2,"('2.1', '2.2')",C57,urine_marking
9,5,2.2,2.1,980.0,970.6,0.0,4,2,1,2022-09-16,1vs2,29.0,2.0,2.1,2.2,,,False,,CAGE2,1.0,2,"('2.1', '2.2')",C57,urine_marking
10,6,2.3,2.4,1000.0,1000.6,0.5,3,1,0,2022-09-16,3vs4,21.0,21.0,2.3,2.4,,,True,,CAGE2,0.0,2,"('2.3', '2.4')",C57,urine_marking
11,6,2.4,2.3,1020.0,1019.4,0.5,1,3,1,2022-09-16,3vs4,21.0,21.0,2.3,2.4,,,True,,CAGE2,0.0,2,"('2.3', '2.4')",C57,urine_marking
0,1,3.1,3.3,1000.0,1010.0,1.0,1,2,0,2022-09-14,1v3,9.0,3.0,3.1,3.3,,,False,,CAGE3,,3,"('3.1', '3.3')",C57,urine_marking
1,1,3.3,3.1,1000.0,990.0,0.0,2,1,1,2022-09-14,1v3,9.0,3.0,3.1,3.3,,,False,,CAGE3,,3,"('3.1', '3.3')",C57,urine_marking
2,2,3.2,3.4,1000.0,1010.0,1.0,2,4,0,2022-09-14,2v4,25.0,18.0,3.2,3.4,,,False,,CAGE3,0.0,3,"('3.2', '3.4')",C57,urine_marking
3,2,3.4,3.2,1000.0,990.0,0.0,4,2,1,2022-09-14,2v4,25.0,18.0,3.2,3.4,,,False,,CAGE3,0.0,3,"('3.2', '3.4')",C57,urine_marking
4,3,3.4,3.1,990.0,1000.6,1.0,2,3,0,2022-09-15,1v4,2.0,18.0,3.4,3.1,,,False,,CAGE3,1.0,3,"('3.1', '3.4')",C57,urine_marking
5,3,3.1,3.4,1010.0,999.4,0.0,3,2,1,2022-09-15,1v4,2.0,18.0,3.4,3.1,,,False,,CAGE3,1.0,3,"('3.1', '3.4')",C57,urine_marking
6,4,3.3,3.2,990.0,1000.6,1.0,1,4,0,2022-09-15,2v3,2.0,20.0,3.3,3.2,,,False,,CAGE3,0.0,3,"('3.2', '3.3')",C57,urine_marking
7,4,3.2,3.3,1010.0,999.4,0.0,4,1,1,2022-09-15,2v3,2.0,20.0,3.3,3.2,,,False,,CAGE3,0.0,3,"('3.2', '3.3')",C57,urine_marking
8,5,3.1,3.2,999.4,1009.4,1.0,1,4,0,2022-09-16,1vs2,15.0,0.0,3.1,3.2,,,False,,CAGE3,1.0,3,"('3.1', '3.2')",C57,urine_marking
9,5,3.2,3.1,999.4,989.4,0.0,4,1,1,2022-09-16,1vs2,15.0,0.0,3.1,3.2,,,False,,CAGE3,1.0,3,"('3.1', '3.2')",C57,urine_marking
10,6,3.3,3.4,1000.6,1010.6,1.0,1,3,0,2022-09-16,3vs4,55.0,1.0,3.3,3.4,,,False,,CAGE3,0.0,3,"('3.3', '3.4')",C57,urine_marking
11,6,3.4,3.3,1000.6,990.6,0.0,3,1,1,2022-09-16,3vs4,55.0,1.0,3.3,3.4,,,False,,CAGE3,0.0,3,"('3.3', '3.4')",C57,urine_marking
0,1,4.2,4.1,1000.0,1010.0,1.0,1,2,0,2022-09-12,1vs2,14.0,22.0,4.2,4.1,,,False,3 hours,CAGE4,,4,"('4.1', '4.2')",CD1,urine_marking
1,1,4.1,4.2,1000.0,990.0,0.0,2,1,1,2022-09-12,1vs2,14.0,22.0,4.2,4.1,,,False,3 hours,CAGE4,,4,"('4.1', '4.2')",CD1,urine_marking
2,2,4.4,4.3,1000.0,1010.0,1.0,2,4,0,2022-09-12,3vs4,24.0,60.0,4.4,4.3,,,False,3 hours,CAGE4,0.0,4,"('4.3', '4.4')",CD1,urine_marking
3,2,4.3,4.4,1000.0,990.0,0.0,4,2,1,2022-09-12,3vs4,24.0,60.0,4.4,4.3,,,False,3 hours,CAGE4,0.0,4,"('4.3', '4.4')",CD1,urine_marking
4,3,4.3,4.1,990.0,1000.0,1.0,3,4,0,2022-09-13,1vs3,11.0,90.0,4.3,4.1,,,False,3 hours,CAGE4,1.0,4,"('4.1', '4.3')",CD1,urine_marking
5,3,4.1,4.3,990.0,980.0,0.0,4,3,1,2022-09-13,1vs3,11.0,90.0,4.3,4.1,,,False,3 hours,CAGE4,1.0,4,"('4.1', '4.3')",CD1,urine_marking
6,4,4.4,4.2,1010.0,1020.0,1.0,1,2,0,2022-09-13,4vs2,96.0,5.0,4.4,4.2,,,False,3 hours,CAGE4,0.0,4,"('4.2', '4.4')",CD1,urine_marking
7,4,4.2,4.4,1010.0,1000.0,0.0,2,1,1,2022-09-13,4vs2,96.0,5.0,4.4,4.2,,,False,3 hours,CAGE4,0.0,4,"('4.2', '4.4')",CD1,urine_marking
8,5,4.4,4.1,1020.0,1018.9,0.5,1,4,0,2022-09-16,1vs4,82.0,97.0,4.4,4.1,,,True,3 hours,CAGE4,1.0,4,"('4.1', '4.4')",CD1,urine_marking
9,5,4.1,4.4,980.0,981.1,0.5,4,1,1,2022-09-16,1vs4,82.0,97.0,4.4,4.1,,,True,3 hours,CAGE4,1.0,4,"('4.1', '4.4')",CD1,urine_marking
10,6,4.3,4.2,1000.0,1010.0,1.0,2,3,0,2022-09-16,2vs3,5.0,172.0,4.3,4.2,,,False,3 hours,CAGE4,0.0,4,"('4.2', '4.3')",CD1,urine_marking
11,6,4.2,4.3,1000.0,990.0,0.0,3,2,1,2022-09-16,2vs3,5.0,172.0,4.3,4.2,,,False,3 hours,CAGE4,0.0,4,"('4.2', '4.3')",CD1,urine_marking
