,subject_id,cage_#,final_elo_rating,strain,experiment_type,rank
0,1.1,1,1009.7,C57,urine_marking,2.0
1,1.2,1,1019.1,C57,urine_marking,1.0
2,1.3,1,980.9,C57,urine_marking,4.0
3,1.4,1,990.3,C57,urine_marking,3.0
4,2.1,2,1009.4,C57,urine_marking,2.0
5,2.2,2,970.6,C57,urine_marking,4.0
6,2.3,2,1000.6,C57,urine_marking,3.0
7,2.4,2,1019.4,C57,urine_marking,1.0
8,3.1,3,1009.4,C57,urine_marking,2.0
9,3.2,3,989.4,C57,urine_marking,4.0
10,3.3,3,1010.6,C57,urine_marking,1.0
11,3.4,3,990.6,C57,urine_marking,3.0
12,4.1,4,981.1,CD1,urine_marking,4.0
13,4.2,4,990.0,CD1,urine_marking,3.0
14,4.3,4,1010.0,CD1,urine_marking,2.0
15,4.4,4,1018.9,CD1,urine_marking,1.0
16,5.1,5,980.9,CD1,urine_marking,4.0
17,5.2,5,1009.7,CD1,urine_marking,2.0
18,5.3,5,989.7,CD1,urine_marking,3.0
19,5.4,5,1019.7,CD1,urine_marking,1.0
20,6.1,6,980.6,CD1,urine_marking,3.0
21,6.2,6,980.6,CD1,urine_marking,3.0
22,6.3,6,1028.8,CD1,urine_marking,1.0
23,6.4,6,1010.0,CD1,urine_marking,2.0
