,uma_tuple_animal_id,uma_winner,uma_loser,uma_averaged_winner,uma_averaged_loser,uma_averaged_winner_win_count,uma_averaged_loser_win_count,uma_count_difference,uma_match_count
0,"('1.1', '1.2')",['1.1'],['1.2'],1.1,1.2,1,0,1,1
1,"('1.1', '1.3')",['1.1'],['1.3'],1.1,1.3,1,0,1,1
2,"('1.1', '1.4')",['1.4'],['1.1'],1.4,1.1,1,0,1,1
3,"('1.2', '1.3')",['1.2'],['1.3'],1.2,1.3,1,0,1,1
4,"('1.2', '1.4')",['1.2'],['1.4'],1.2,1.4,1,0,1,1
5,"('1.3', '1.4')",['1.4'],['1.3'],1.4,1.3,1,0,1,1
6,"('2.1', '2.2')",['2.1'],['2.2'],2.1,2.2,1,0,1,1
7,"('2.1', '2.3')",['2.1'],['2.3'],2.1,2.3,1,0,1,1
8,"('2.1', '2.4')",['2.4'],['2.1'],2.4,2.1,1,0,1,1
9,"('2.2', '2.3')",['2.3'],['2.2'],2.3,2.2,1,0,1,1
10,"('2.2', '2.4')",['2.4'],['2.2'],2.4,2.2,1,0,1,1
11,"('2.3', '2.4')",['2.3'],['2.4'],2.3,2.4,1,0,1,1
12,"('3.1', '3.2')",['3.1'],['3.2'],3.1,3.2,1,0,1,1
13,"('3.1', '3.3')",['3.1'],['3.3'],3.1,3.3,1,0,1,1
14,"('3.1', '3.4')",['3.4'],['3.1'],3.4,3.1,1,0,1,1
15,"('3.2', '3.3')",['3.3'],['3.2'],3.3,3.2,1,0,1,1
16,"('3.2', '3.4')",['3.2'],['3.4'],3.2,3.4,1,0,1,1
17,"('3.3', '3.4')",['3.3'],['3.4'],3.3,3.4,1,0,1,1
18,"('4.1', '4.2')",['4.2'],['4.1'],4.2,4.1,1,0,1,1
19,"('4.1', '4.3')",['4.3'],['4.1'],4.3,4.1,1,0,1,1
20,"('4.1', '4.4')",['4.4'],['4.1'],4.4,4.1,1,0,1,1
21,"('4.2', '4.3')",['4.3'],['4.2'],4.3,4.2,1,0,1,1
22,"('4.2', '4.4')",['4.4'],['4.2'],4.4,4.2,1,0,1,1
23,"('4.3', '4.4')",['4.4'],['4.3'],4.4,4.3,1,0,1,1
24,"('5.1', '5.2')",['5.2'],['5.1'],5.2,5.1,1,0,1,1
25,"('5.1', '5.3')",['5.3'],['5.1'],5.3,5.1,1,0,1,1
26,"('5.1', '5.4')",['5.4'],['5.1'],5.4,5.1,1,0,1,1
27,"('5.2', '5.3')",['5.2'],['5.3'],5.2,5.3,1,0,1,1
28,"('5.2', '5.4')",['5.4'],['5.2'],5.4,5.2,1,0,1,1
29,"('5.3', '5.4')",['5.4'],['5.3'],5.4,5.3,1,0,1,1
30,"('6.1', '6.2')",['6.1'],['6.2'],6.1,6.2,1,0,1,1
31,"('6.1', '6.3')",['6.3'],['6.1'],6.3,6.1,1,0,1,1
32,"('6.1', '6.4')",['6.4'],['6.1'],6.4,6.1,1,0,1,1
33,"('6.2', '6.3')",['6.3'],['6.2'],6.3,6.2,1,0,1,1
34,"('6.2', '6.4')",['6.4'],['6.2'],6.4,6.2,1,0,1,1
35,"('6.3', '6.4')",['6.3'],['6.4'],6.3,6.4,1,0,1,1
